Summary,Issue Type,Description,Priority,Labels,Story Points,Sprint
"HU1.1 - Iniciar sesión","Story","Como usuario, quiero iniciar sesión para acceder al sistema.|Given: formulario de login|When: ingreso credenciales válidas|Then: redirige al dashboard","Major","auth,sprint1",3,"Sprint 1"
"HU1.2 - Registrar usuario (admin)","Story","Como administrador, quiero crear cuentas para usuarios para controlar el acceso.|Given: usuario admin|When: completa formulario de registro|Then: usuario creado con rol","Major","auth,sprint1",5,"Sprint 1"
"HU1.3 - Gestión de roles","Story","Como administrador, quiero asignar roles para controlar permisos del sistema.|Given: lista de usuarios|When: asigno rol admin/vendedor|Then: permisos aplicados según rol","Major","auth,sprint1",5,"Sprint 1"
"HU2.1 - CRUD Productos","Story","Como responsable de inventario, quiero crear/editar/eliminar productos para mantener catálogo actualizado.|Given: formulario producto|When: guardo cambios válidos|Then: producto refleja cambios","Major","products,sprint2",5,"Sprint 2"
"HU2.2 - Consultar stock","Story","Como usuario, quiero ver el stock de un producto para saber disponibilidad.|Given: pantalla producto|When: consulto stock|Then: muestra cantidad disponible","Major","products,sprint2",3,"Sprint 2"
"HU2.3 - Notificación stock bajo","Story","Como administrador, quiero recibir alerta cuando stock sea bajo para reabastecer.|Given: umbral configurado|When: stock < umbral|Then: generar alerta/log","Minor","products,sprint2",2,"Sprint 2"
"HU3.1 - Crear compra multi-línea","Story","Como empleado, quiero registrar compras con varias líneas para actualizar stock y costos.|Given: items seleccionados|When: envío compra|Then: crear purchase, aumentar stock y movimientos IN","Major","purchases,sprint3",5,"Sprint 3"
"HU3.2 - Ver detalle compra","Story","Como usuario, quiero ver detalle de una compra para revisar sus items y totales.|Given: lista de compras|When: selecciono compra|Then: muestro items, cantidades y totales","Major","purchases,sprint3",3,"Sprint 3"
"HU3.3 - Eliminar compra (revertir stock)","Story","Como administrador, quiero eliminar compras y revertir movimientos de stock para corregir errores.|Given: compra existente|When: la elimino|Then: disminuir stock y registrar movimiento OUT","Major","purchases,sprint3",3,"Sprint 3"
"HU4.1 - Registrar venta","Story","Como vendedor, quiero registrar ventas que descuenten stock para llevar control de salidas.|Given: cliente y items|When: registro venta|Then: crear sale y movimientos OUT","Major","sales,sprint4",5,"Sprint 4"
"HU4.2 - Reporte ventas por mes","Story","Como gerente, quiero ver reporte de ventas por mes para analizar desempeño.|Given: periodo seleccionado|When: genero reporte|Then: muestro totales por producto y fecha","Minor","reports,sprint4",3,"Sprint 4"
"SP5.1 - Preparar demo y PDF","Task","Preparar video demo de 3-5 minutos y PDF con pasos para la entrega en Moodle.","Minor","delivery,sprint5",2,"Sprint 5"
